SMILES,SMILES_state,NLL
COc1cc(Cn2c(=O)oc3cc(C)ccc32)ccc1O,1,23.99
COc1ccccc1C=NNC(=O)c1ccc(C(C)Sc2ccc3c(C)cc(=O)oc3c2)o1,1,38.4
CC(=O)c1c[nH]c(=NC(=O)Cc2ccccc2)s1,1,22.18
Cc1ccc(Cn2cnc(CNc3ccc(-c4ccccc4)c(C(=O)OCc4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)c2)cc1,1,38.15
OC(NCc1ccccc1)(C(F)(F)F)C(F)(F)F,1,24.7
CCCCC1(C)NC(=O)N(CC(=O)N(C)CC(=O)Nc2ccccc2Cl)C1=O,1,29.83
COc1ccccc1-c1ccc2c(C(N)=O)n[nH]c2n1,1,30.09
CCN(CC)c1ccc(C(=O)NC2CCC[N+]([O-])(Cc3cccc4ccccc34)C2)cn1,1,39.91
O=c1c2c(C(F)(F)F)cc(N3CCOCC3)nc2sn1-c1ccccc1,1,26.53
CC(NC(=O)c1ccc(-c2ccnc3c(C(=O)C(=O)N4CCN(C(=O)c5ccccc5)CC4)c[nH]c23)cc1)c1ccccc1,1,31.03
CN(CCN=c1[nH]cc(-c2ccc3c(c2)COCC(=O)N3)s1)CCc1ccccn1,1,42.46
O=C(Cn1sc2ccccc2c1=O)c1cccc(Br)c1,1,27.02
COC1CC(n2cnc(-c3c[nH]c4ccc(-c5n[nH]c(C6CC6)n5)cc34)c2-c2ccc3ccccc3c2)C1,1,45.36
CCOC(=O)N1CCN(C(=O)C(Cc2ccccc2)NC(=O)Cc2cc(OC)c(OC)cc2S(=O)(=O)N2CCC(CCNC(C)=O)CC2)CC1,1,42.45
COc1cc(NC(=O)C2CCN(S(=O)(=O)c3ccccc3)CC2)ccc1-n1cnc(Cl)c1,1,29.96
CC1CCC2Cc3ccc(O)c(N)c3NC2C1,1,33.1
O=S(=O)(N=c1[nH]c2ccccc2[nH]c1=NCCO)c1cccc(Cl)c1,1,23.79
CCCC1CCN(c2c(C(=O)Nc3ccc(OCC)cc3)cnn2-c2ccccc2)CC1,1,34.75
COc1ccc(CN2CCN(Cc3c(C)[nH]n(-c4ccccc4)c3=O)CC2)cc1,1,24.96
CN(C)c1cccc(C(=O)N2CCC3(CCCN(C(=O)c4ccncc4)C3)CC2)c1,1,28.09
COc1ccc2c(=NNC(=O)COc3cccc(O)c3)cc[nH]c2c1,1,32.94
N=c1[nH]c(=N)c2c(Sc3ccc4ccccc4c3)c[nH]c2[nH]1,1,20.73
COc1ccc(NC(=O)N2CCN(CCN=C3NC(C)(C)C(=S)S3)CC2)cc1,1,27.85
COc1cc(C(=O)N2Cc3ccccc3CC2CNC(=O)C(=O)NCc2ccc(Cl)cc2)cc(OC)c1OC,1,27.43
COc1ccc2oc(=O)c(C=NCCN=Cc3ccc([N+](=O)[O-])cc3)c(O)c2c1,1,30.02
Clc1ccccc1N=c1c2ccccc2[nH]c2ccc(NCc3cccs3)cc12,1,29.46
N=c1[nH]c(=O)c2ncn(C3CC(CO)C(O)C3O)c2[nH]1,1,18.76
Nc1ccc(-c2nc3c(F)ccc(F)c3nc2-c2cccc(Oc3ccccc3)c2)c(O)c1,1,42.26
CC(c1ccccc1)C(C(=O)NCCCc1ccccc1Cl)N1CCC(CN2CCC(Oc3ccc(CC(=O)O)cc3)CC2)CC1,1,47.91
CC(C=Cc1cnc2c(C)c(F)ccc2c1)=NO,1,33.64
COc1ccc2[nH]c(C(C)N(C(=O)Cc3cccs3)c3ccccc3F)nc2c1,1,34.41
COC(CN1CCN(c2ncccn2)CC1)c1ccccc1,1,23.4
O=C(N=c1cc2c(-c3cccc(F)c3)n[nH]c2c[nH]1)OCC(F)(F)F,1,28.83
O=C(NC1CCCCC1)c1ccc(CS(=O)(=O)c2ccc(F)cc2)o1,1,20.59
O=C(Nc1cn(-c2cccc(C(=O)Nc3ccccc3C(F)(F)F)c2)cn1)c1ccc(N=c2cccn[nH]2)cc1,1,36.44
CC(C)OC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,1,23.4
Cc1ccc(S(=O)(=O)NCC(C)(C)N2CCOCC2)c(C)c1F,1,28.49
O=C1CCN(c2ccc(C(F)(F)F)cc2NC(=O)C=Cc2ccccc2F)C1,1,34.12
S=C(NCCc1ccccc1)Nn1cnnc1,1,18.74
O=C(NC1CCCC1)c1cc(=Nc2ccc(Cl)cc2)n(-c2ccccc2)[nH]1,1,25.08
O=C(NCc1cccc(Cl)c1)C(=O)NCC1Cc2[nH]ncc2CN1S(=O)(=O)c1ccc2ccccc2c1,1,36.07
Cn1nccc1C(=O)NN=Cc1ccc(N(CCC#N)S(=O)(=O)c2ccccc2)cc1,1,28.05
N#CC1C(=N)OC2=C(C(=O)Cc3ccccc32)C1c1ccccc1,1,20.26
O=C(NC(Cc1ccc(F)cc1)C(=O)N1CCN(c2cccc(Cl)c2Cl)CC1)C1CCNCC1,1,29.16
CC(CC(=O)O)C(=O)NC(C(=O)NC1CCC1)C(C)C,1,33.57
Cc1ccc(NC(=O)CC(N)Cc2ccccc2)c(O)c1,1,28.0
COCCN(CCOC)C(=O)c1sc2nc(-c3ccc(Cl)cc3)cn2c1C,1,24.32
Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(CNCC=Cc2ccccc2)cc1,1,26.48
O=C(O)c1ncnn2cc(-c3ccc(Cl)c(Cl)c3)nc12,1,29.46
COc1ccc(CC(CN)(Cc2ccccc2)C(=O)O)cc1OC,1,24.16
Cc1ccc(C)c2c1OCC2NC(=O)C1CCC1,1,30.17
CC(OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(=Nc3ccc(F)cc3)[nH]2)C1)c1ccccc1,1,26.91
CNCCOc1ccccc1,1,15.74
CN(C)S(=O)(=O)C=Cc1cccc(O)c1O,1,26.21
c1cc2ccc3c(NCCCN4CCN(CCCn5c6ccccc6c6ccccc65)CC4)ccc4ncc(c1)c2c43,1,41.6
COC(=O)c1ccc(Sc2nncn2C)c([N+](=O)[O-])c1,1,22.16
O=C(C=Cc1ccc(O)c(O)c1)OC(c1ccccc1)c1ccc(Oc2ccccc2)cc1,1,30.21
COc1ccc(N(C)C(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,1,25.26
CN(C)c1cccc2c(S(=O)(=O)N(CCCN)CCCNCCCCCCNCCCN)cccc12,1,31.85
COC(=O)c1c(N)nc(C(=O)NCc2ccc(C(F)(F)F)cc2F)n1C,1,35.55
CCCCn1c(N2CCCC(C)C2)nc2ccccc21,1,24.9
COc1ccc(OC)c(C(N=c2cccc[nH]2)c2cn(C)c3ccccc23)c1,1,29.8
COc1cc(C2C(C(=O)Nc3ccccc3)=C(C)N=C(SCC(N)=O)C2C#N)cc(OC)c1OC,1,24.53
O=c1cc(-c2ccccc2)oc2cc(OCCN3CCN(c4ccccc4)CC3)cc(O)c12,1,20.27
COc1ccc(CNCc2coc(-c3ccccc3F)n2)cc1,1,20.53
Cc1cnc(COc2ccc3c(c2)nc(C2CCCCC2C(=O)O)n3Cc2ccc(-c3ncccn3)cc2)c(Cl)c1,1,31.92
COC(=O)C1C2OCc3ccccc3C2N2C(=O)C(C(C)=Nc3ccc(Cl)cc3)CCC12,1,44.3
CC(C)COC(=O)C(CSc1ccc([N+](=O)[O-])cc1)NSc1ccc2oc3c(c2c1)CCCC3,1,47.69
CSCCC(NC(=O)C1Cc2ccccc2CN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(=O)NCCC(=O)O,1,34.45
O=C(CCc1ccc(O)cc1)CC(=O)CCc1ccc(O)c(O)c1,1,21.21
c1ccc(CNC2CCN(Cc3ccc4ccccc4c3)CC2)cc1,1,23.79
O=C1CN(C(=O)COC(=O)c2ccc(Br)o2)c2ccccc2N1,1,20.95
CCOc1ccc(N2CCC(c3nccnc3-c3ccc(OCCN(C)C)c(C#N)c3)CC2)nc1,1,32.48
CC(C(=O)c1ccccc1)N1CCCC1,1,19.98
Fc1ccc(-c2noc(C34CCC(c5ccc(-c6ccco6)nn5)(CC3)CC4)n2)cc1,1,34.42
c1cnc(=NC(c2ccc3ccccc3c2)c2ccc3cc(OCc4ccc5ccccc5n4)ccc3c2)[nH]c1,1,34.67
CCC1=Nc2sc(=O)[nH]c2C(c2cccnc2)N1C(=O)NCc1ccccc1,1,39.58
CC(NC(=O)NCCCCCNC(=O)c1cc(-c2ccccc2)n[nH]1)c1ccccc1,1,33.18
COc1cc(COc2cccc(C=C[N+](=O)[O-])c2)cc(OC)c1OC,1,24.81
Cc1csc(-n2[nH]c(O)c(C)c2=O)n1,1,23.3
CCc1ccc(NC(=O)C(Sc2nc3ccccc3nc2Cc2ccccc2OC)C(=O)OC)cc1,1,34.44
CC1(O)CC(c2ccnc3c(C(=O)Nc4cccc5c4cnn5-c4cccc(C(=O)NC5CC5)c4)cnn23)C1,1,38.63
CC1CCCN1Cc1ccc2ccc(S(=O)(=O)N=c3[nH]ccs3)cc2c1,1,28.49
N=C(N)N1CCc2cc(OCC(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)ccc2C1,1,26.25
CC(C)C(NC(=O)c1nc2c(s1)CN(C)CC2)c1nc(C(=O)N2CCN(c3nc4ccc(Cl)cc4s3)CC2)co1,1,41.06
CCOC(=O)CCS(=O)(=O)c1cccc(OCCN2CCCC2)c1,1,29.84
O=C(CCNS(=O)(=O)c1ccc(Br)cc1)NC1CCS(=O)(=O)C1,1,22.31
N=CC(NS(=O)(=O)c1ccc2ccccc2c1)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=O)C(N)=O,1,40.98
O=C(c1ccc(CN2CCCCC(O)C2)s1)N1CCC2(CC1)OCCO2,1,31.22
COc1cc2[nH]c(N3CCN(C(=O)C=Cc4ccc(Cl)cc4Cl)CC3)nc(=N)c2cc1OC,1,22.14
COc1ccc(CC(=O)N2CCOC(C(N)=O)C2)cc1OC,1,26.77
Cc1ccc(CCN2C=Nc3c(O)cccc3C2c2ccc(F)cc2)cc1,1,30.93
COc1ccc(-n2c(=O)n(C)c3ncc(-c4ccc(F)cc4)nc32)cc1,1,28.52
O=C(Cn1nnc2ccccc2c1=O)c1ccc(Br)cc1,1,22.47
Cc1cccc2nc(-c3ccccc3)[nH]c(=NCCO)c12,1,24.52
CC1(C)C=Cc2c(ccc3[nH]c(=O)sc23)O1,1,21.17
O=C(Nc1ccccc1CN1CCOCC1)c1cnn2cccnc12,1,24.43
COc1ccc(CN2CCc3c(c4ccc(OC)c(OC)c4oc3=O)C2)cc1,1,23.71
CCCCc1nn(-c2cccc(C(=O)NCC(C)C)c2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,27.18
N=c1[nH]c2ccc(-c3cncc(OC4CCNC4)c3)cc2s1,1,25.27
Cn1cc(-c2nnc(-c3ccc(F)cc3)o2)c2ccccc21,1,22.75
CCC1=CC(N(C)c2ccccc2CC)=NS1(=O)=O,1,26.03
CSc1ccc(NC(=S)NN=Cc2cc3c(cc2Cl)OCO3)cc1,1,28.59
COc1cc(-c2cccc(NCc3ccc(C)s3)c2)ccc1-c1noc(C)n1,1,31.75
